"Time (s)","X (hPa)"
2.849721137E2,1.023549500E3
2.859243967E2,1.023524933E3
2.868767407E2,1.023430481E3
2.878289657E2,1.023412552E3
2.887810977E2,1.023184509E3
2.897333237E2,1.023078766E3
2.906855447E2,1.022987442E3
2.916377697E2,1.022987442E3
2.925899927E2,1.023175201E3
2.935421827E2,1.024398651E3
2.944943747E2,1.026722336E3
2.954466077E2,1.028123550E3
2.963990497E2,1.030536880E3
2.973513677E2,1.034276657E3
2.983037447E2,1.037589264E3
2.992562657E2,1.039130020E3
3.002090077E2,1.043514099E3
3.011617617E2,1.043514099E3
3.021145637E2,1.043059616E3
3.030673577E2,1.040893326E3
3.040202997E2,1.039713745E3
3.049733547E2,1.036185989E3
3.059261847E2,1.036171875E3
3.068790157E2,1.036171875E3
3.078318797E2,1.036993713E3
3.087848007E2,1.038687210E3
3.097377047E2,1.038687210E3
3.106905427E2,1.038798523E3
3.116433937E2,1.038131866E3
3.125962237E2,1.038772202E3
3.135492037E2,1.038772202E3
3.145021377E2,1.043927155E3
3.154551537E2,1.046173248E3
3.164082057E2,1.049713440E3
3.173609077E2,1.051525497E3
3.183135697E2,1.054208450E3
3.192661857E2,1.058205185E3
3.202189377E2,1.058498001E3
3.211716597E2,1.058498001E3
3.221243187E2,1.057820511E3
3.230769567E2,1.057178802E3
3.240296547E2,1.049708786E3
3.249825997E2,1.043815460E3
3.259357407E2,1.043815460E3
3.268888527E2,1.044331818E3
3.278419047E2,1.045031281E3
3.287950187E2,1.049723129E3
3.297480247E2,1.056724472E3
3.307010297E2,1.057128372E3
3.316540597E2,1.057128372E3
3.326069637E2,1.056053925E3
3.335598927E2,1.052836533E3
3.345124687E2,1.048941040E3
3.354650127E2,1.047863312E3
3.364175457E2,1.047314758E3
3.373701707E2,1.046048126E3
3.383231847E2,1.045366287E3
3.392762637E2,1.045366287E3
3.402294007E2,1.045710754E3
3.411824527E2,1.045991287E3
3.421354717E2,1.045991287E3
3.430885867E2,1.044487381E3
3.440417417E2,1.043054733E3
3.449950307E2,1.038924103E3
3.459484267E2,1.038021851E3
3.469017207E2,1.037427063E3
3.478548267E2,1.037075577E3
3.488077247E2,1.036796951E3
3.497605607E2,1.036539841E3
3.507135727E2,1.036257172E3
3.516666837E2,1.036086044E3
3.526197437E2,1.035886307E3
3.535732267E2,1.035783615E3
3.545266117E2,1.035783615E3
3.554801897E2,1.036096420E3
3.564336627E2,1.036612701E3
3.573871677E2,1.036913376E3
3.583408877E2,1.036970596E3
3.592944837E2,1.036970596E3
3.602479907E2,1.036683426E3
3.612016217E2,1.036114426E3
3.621553367E2,1.036114426E3
3.631089977E2,1.036454239E3
3.640624887E2,1.036550140E3
3.650157557E2,1.037101135E3
3.659690817E2,1.037336960E3
3.669223407E2,1.037968674E3
3.678754537E2,1.038062057E3
3.688286927E2,1.038062057E3
3.697819317E2,1.037280121E3
3.707356717E2,1.036920624E3
3.716892167E2,1.036236877E3
3.726428657E2,1.035147324E3
3.735966097E2,1.034579697E3
3.745502447E2,1.034574432E3
3.755038997E2,1.034411621E3
3.764575887E2,1.034227829E3
3.774114247E2,1.034174194E3
3.783652957E2,1.034174194E3
3.793191637E2,1.034158859E3
3.802725157E2,1.033923569E3
3.812259677E2,1.033710861E3
3.821793867E2,1.033454666E3
3.831327967E2,1.033303375E3
3.840866537E2,1.032944489E3
3.850405187E2,1.032863235E3
3.859944237E2,1.032750549E3
3.869483547E2,1.032681122E3
3.879022457E2,1.032612762E3
3.888562037E2,1.032471771E3
3.898101667E2,1.032406845E3
3.907641637E2,1.032400055E3
3.917178187E2,1.032400055E3
3.926713747E2,1.032791061E3
3.936250537E2,1.033347168E3
3.945790497E2,1.034643631E3
3.955328867E2,1.034742126E3
3.964867997E2,1.034742126E3
3.974406677E2,1.034299469E3
3.983942317E2,1.033819580E3
3.993479337E2,1.032215881E3
4.003016237E2,1.031498032E3
4.012553777E2,1.031452332E3
4.022091837E2,1.031256409E3
4.031630047E2,1.031190872E3
4.041168617E2,1.031190872E3
4.050707127E2,1.031359406E3
4.060248247E2,1.031468506E3
4.069791497E2,1.031480026E3
4.079334737E2,1.031480026E3
4.088877707E2,1.031269913E3
4.098421647E2,1.031250229E3
4.107960077E2,1.031123810E3
4.117499127E2,1.031010590E3
4.127037577E2,1.031010590E3
4.136581217E2,1.031043701E3
4.146126077E2,1.031329880E3
4.155668467E2,1.031850967E3
4.165209567E2,1.032529297E3
4.174747857E2,1.034485474E3
4.184287377E2,1.035039902E3
4.193828827E2,1.035772858E3
4.203373767E2,1.035784302E3
4.212918577E2,1.035772858E3
4.222463347E2,1.034265442E3
4.232008117E2,1.033675842E3
4.241553787E2,1.032822647E3
4.251099077E2,1.032391357E3
4.260645487E2,1.032020798E3
4.270193307E2,1.031938553E3
4.279742297E2,1.031851044E3
4.289290447E2,1.031759491E3
4.298838037E2,1.031669159E3
4.308381667E2,1.031583023E3
4.317925587E2,1.031496353E3
4.327471347E2,1.031406937E3
4.337017397E2,1.031323318E3
4.346563767E2,1.031240768E3
4.356110487E2,1.031160431E3
4.365655717E2,1.031084518E3
4.375204187E2,1.031014786E3
4.384752377E2,1.030942993E3
4.394300237E2,1.030873184E3
4.403848407E2,1.030806732E3
4.413395737E2,1.030740738E3
4.422943707E2,1.030678101E3
4.432491357E2,1.030616074E3
4.442038007E2,1.030550919E3
4.451584417E2,1.030482407E3
4.461130007E2,1.030410995E3
4.470677017E2,1.030335541E3
4.480225517E2,1.030262222E3
4.489772857E2,1.030193634E3
4.499319697E2,1.030130768E3
4.508867517E2,1.030073013E3
4.518416567E2,1.030020981E3
4.527962897E2,1.029977036E3
4.537509807E2,1.029964752E3
4.547056697E2,1.029961319E3
4.556603927E2,1.029957123E3
4.566151167E2,1.029950714E3
4.575699867E2,1.029938354E3
4.585254087E2,1.029894791E3
4.594806277E2,1.029834824E3
4.604356287E2,1.029777374E3
4.613906317E2,1.029720764E3
4.623456597E2,1.029668045E3
4.633010237E2,1.029616623E3
4.642563697E2,1.029567719E3
4.652116547E2,1.029518814E3
4.661667017E2,1.029471207E3
4.671218487E2,1.029438782E3
4.680769147E2,1.029423752E3
4.690319757E2,1.029203186E3
4.699871427E2,1.028936615E3
4.709425027E2,1.028597946E3
4.718978647E2,1.028239670E3
