Time (s),X (hPa),X (hPa)_kalman,X (hPa)_kalman_lowpass
173.4743884,1013.780365,1013.7849840879552,1013.7890787527185
174.4236964,1013.765793,1013.7748882490326,1013.7771134608065
175.3727524,1013.760071,1013.7670871065934,1013.7645527427358
176.3219674,1013.752975,1013.7596655926386,1013.7581975424073
177.2712444,1013.745422,1013.7521667669888,1013.7542121207774
178.2203444,1013.739243,1013.7453704150798,1013.7470055375339
179.1695704,1013.733215,1013.7389709640668,1013.7371909520908
180.1186564,1013.726501,1013.7324059781167,1013.7300576683209
181.0678124,1013.720627,1013.7262124847094,1013.7273951674676
182.0169474,1013.713837,1013.7197128890738,1013.7235983266352
182.9661434,1013.707809,1013.7134539570442,1013.712494017004
183.9153984,1013.695068,1013.7037742427091,1013.6985128662448
184.8645794,1013.695068,1013.6991907385324,1013.698898333848
185.8137474,1013.738403,1013.719835516951,1013.7313851107225
186.7627524,1013.885269,1013.8069255742337,1013.7969997600541
187.7118274,1013.940277,1013.8771168888468,1013.8742272796335
188.6609444,1013.964996,1013.9233679042628,1013.9312931623178
189.6098284,1013.964996,1013.9452685218844,1013.947129817151
190.5584934,1013.927307,1013.9358121443319,1013.9244799348953
191.5071784,1013.830338,1013.8802734607656,1013.886002568796
192.4558824,1013.830338,1013.8539749792934,1013.8575397804445
193.4047814,1013.845978,1013.8497806542796,1013.8504462249688
194.3538174,1013.862076,1013.8562458154632,1013.8539134658085
195.3025314,1013.862076,1013.8593071757743,1013.8422781331858
196.2511354,1013.684921,1013.7675038994591,1013.7943728013292
197.2002434,1013.667526,1013.7148753447277,1013.7133031982095
198.1493074,1013.584518,1013.646252611172,1013.6305950672573
199.0983434,1013.54866,1013.5948638219132,1013.5863197751232
200.0474374,1013.54866,1013.5705303837506,1013.5961219260209
200.9965204,1013.684387,1013.6304741258191,1013.6315592914499
201.9455724,1013.684387,1013.6588584750499,1013.6337861021124
202.8947644,1013.440628,1013.5439557182603,1013.5534859571595
203.8439314,1013.218307,1013.3725153261801,1013.3863007291787
204.7929774,1013.030853,1013.1926198150553,1013.1765470719583
205.7421044,1012.79129,1012.9813103600184,1012.9896301598282
206.6913464,1012.79129,1012.881251852482,1012.8777175388225
207.6406664,1012.83493,1012.8568483142187,1012.8620212108332
