Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Velocity (m/s)_kalman,Velocity (m/s)_kalman_lowpass
745.9307934,51.81547535,4.693741077,2.420745774,0.03420390934,259.666143,6.000906205,6.000906205,0.03743857392530495,0.032479555872513804
746.930773,51.81547557,4.693740526,2.420536415,0.07697187364,261.3215896,6.000906205,6.000906205,0.05964708648433194,0.04349902194684117
747.9307557,51.81547474,4.693739587,2.420924033,0.04544709623,259.9216468,6.000906205,6.000906205,0.051669997189982435,0.07265284851231715
748.9307389,51.81547393,4.69374264,2.419441875,0.1257966608,263.4933439,6.000906205,6.000906205,0.09331192819893513,0.10197632538931706
749.9307241,51.81547701,4.693745622,2.417807072,0.1833411157,263.5492695,6.000906205,6.000906205,0.14388737613689875,0.11409349933461105
750.9307116,51.81547864,4.693745711,2.423304984,0.0554144457,260.494645,6.000906205,6.000906205,0.0941861824366512,0.101413325458343
751.9307002,51.81547956,4.693747865,2.426831383,0.02493641526,259.016073,6.000906205,6.000906205,0.05528393204972673,0.07037643163684144
752.9306902,51.81547983,4.693748855,2.428890337,0.01815123297,260.2239782,6.000906205,6.000906205,0.03442399827915627,0.038955404566278544
753.9306809,51.81548426,4.69375347,2.429590618,0.04831917584,261.0083572,6.000906205,6.000906205,0.04222985378770861,0.025071379383404032
754.9306741,51.81548236,4.693745048,2.437787095,0.04410188645,259.0665071,6.000906205,6.000906205,0.043281500405067036,0.03153907006424892
755.9306676,51.81548213,4.693742156,2.435128883,0.002544294111,258.0327989,6.000906205,6.000906205,0.020396672573900796,0.04244358097541221
756.9306613,51.81548247,4.693743235,2.434440775,0.04260849208,258.2424584,6.000906205,6.000906205,0.03287454504919052,0.03890637785059674
757.9306575,51.81548214,4.693745049,2.434996812,0.02436850406,257.6112396,6.000906205,6.000906205,0.02809612990440048,0.019964561939789058
758.930654,51.81548217,4.693744542,2.434441301,0.005474580452,257.6020872,6.000906205,6.000906205,0.015388084567065002,0.0038623151929142365
