"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.499291340E2,5.181561571E1,4.694297631E0,2.584175110E0,2.407065481E-1,7.402781004E1,3.200483309E1,3.200483309E1
1.509291326E2,5.181561038E1,4.694290299E0,2.584175110E0,2.276252657E-1,6.880201181E1,3.200483309E1,3.200483309E1
1.519291321E2,5.181560789E1,4.694289699E0,2.584175110E0,1.521552503E-1,7.184430101E1,3.200483309E1,3.200483309E1
1.529291317E2,5.181560230E1,4.694290007E0,2.584175110E0,1.740893573E-1,7.564832023E1,3.200483309E1,3.200483309E1
1.539291302E2,5.181560205E1,4.694291937E0,2.584175110E0,1.077575050E-2,8.372887115E1,3.200483309E1,3.200483309E1
1.549291300E2,5.181559862E1,4.694283498E0,2.584175110E0,4.832173139E-2,8.345963192E1,3.458058765E1,3.458058765E1
1.559291295E2,5.181559463E1,4.694282603E0,2.584175110E0,4.832173139E-2,7.216297032E1,3.421268401E1,3.421268401E1
1.569291285E2,5.181559360E1,4.694290890E0,2.584175110E0,2.066756487E-1,7.554549173E1,3.200483309E1,3.200483309E1
1.579291273E2,5.181559123E1,4.694292930E0,2.584175110E0,6.879995018E-2,7.945741428E1,3.200483309E1,3.200483309E1
1.589291264E2,5.181558888E1,4.694297205E0,2.584175110E0,2.052256167E-1,8.200857189E1,3.200483309E1,3.200483309E1
1.599291265E2,5.181558705E1,4.694306990E0,2.584175110E0,2.052256167E-1,9.625545858E1,3.200483309E1,3.200483309E1
1.609291259E2,5.181558413E1,4.694318626E0,2.584175110E0,3.252222538E-1,7.420377620E1,3.200483309E1,3.200483309E1
1.619291248E2,5.181558682E1,4.694326481E0,2.584175110E0,3.770494759E-1,7.176957874E1,3.200483309E1,3.200483309E1
1.629291238E2,5.181558967E1,4.694330269E0,2.584175110E0,2.575163245E-1,7.006235247E1,3.200483309E1,3.200483309E1
1.639291235E2,5.181559367E1,4.694327551E0,2.584175110E0,4.279854894E-1,8.080204630E1,3.200483309E1,3.200483309E1
1.649291222E2,5.181558982E1,4.694325480E0,2.584175110E0,4.279854894E-1,9.224139055E1,3.200483309E1,3.200483309E1
1.659291217E2,5.181559635E1,4.694328010E0,2.584175110E0,5.299166441E-1,7.885674012E1,3.200483309E1,3.200483309E1
1.669291215E2,5.181559849E1,4.694332412E0,2.584175110E0,5.299166441E-1,8.146626853E1,3.200483309E1,3.200483309E1
1.679291205E2,5.181559683E1,4.694333294E0,2.584175110E0,3.499886394E-1,7.342874780E1,3.200483309E1,3.200483309E1
1.689291195E2,5.181559060E1,4.694330895E0,2.584175110E0,3.499886394E-1,5.724802966E1,3.200483309E1,3.200483309E1
1.699291193E2,5.181556201E1,4.694305520E0,2.584175110E0,3.499886394E-1,4.146586330E1,3.200483309E1,3.200483309E1
1.709291182E2,5.181556425E1,4.694296434E0,2.584175110E0,4.001798034E-1,3.314754325E1,3.200483309E1,3.200483309E1
1.719291172E2,5.181556622E1,4.694288476E0,2.584175110E0,4.001798034E-1,3.041914905E1,3.200483309E1,3.200483309E1
1.729291167E2,5.181556875E1,4.694288399E0,2.584175110E0,5.222290382E-2,2.675778005E1,3.200483309E1,3.200483309E1
1.739291157E2,5.181556815E1,4.694279384E0,2.584175110E0,1.036795229E-1,2.654037512E1,3.200483309E1,3.200483309E1
1.749291155E2,5.181556412E1,4.694274267E0,2.584175110E0,1.075949594E-1,2.721765497E1,3.200483309E1,3.200483309E1
1.759291148E2,5.181556488E1,4.694263709E0,2.584175110E0,6.555869430E-2,2.704836874E1,3.200483309E1,3.200483309E1
1.769291136E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,3.200483309E1,3.200483309E1
1.779291130E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,3.200483309E1,3.200483309E1
1.789291120E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,1.600241655E1,1.600241655E1
1.799291116E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,1.600241655E1,1.600241655E1
1.809291114E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,1.600241655E1,1.600241655E1
1.819291106E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,1.600241655E1,1.600241655E1
1.829291098E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,1.600241655E1,1.600241655E1
1.839291086E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,1.600241655E1,1.600241655E1
1.849291079E2,5.181556488E1,4.694263709E0,2.584175110E0,0.000000000E0,2.704836874E1,1.600241655E1,1.600241655E1
1.859291070E2,5.181555351E1,4.694268873E0,2.584175110E0,2.635707892E-2,1.054841711E2,1.600241655E1,1.600241655E1
1.869291061E2,5.181555308E1,4.694268688E0,2.584175110E0,1.009925734E-3,1.051178749E2,1.600241655E1,1.600241655E1
1.879291055E2,5.181554907E1,4.694253737E0,2.584175110E0,5.010678247E-2,1.033139332E2,1.600241655E1,1.600241655E1
1.889291048E2,5.181554271E1,4.694246928E0,2.584175110E0,1.028679386E-1,1.018961840E2,1.600241655E1,1.600241655E1
1.899291048E2,5.181553683E1,4.694235638E0,2.584175110E0,5.717585236E-2,8.563791585E1,1.600241655E1,1.600241655E1
1.909291040E2,5.181553713E1,4.694225128E0,2.584175110E0,8.186096698E-2,7.767001524E1,1.600241655E1,1.600241655E1
1.919291033E2,5.181553813E1,4.694211455E0,2.584175110E0,1.828913228E-3,6.349101381E1,1.600241655E1,1.600241655E1
1.929291018E2,5.181553770E1,4.694201821E0,2.584175110E0,3.147194162E-2,5.843399639E1,1.600241655E1,1.600241655E1
1.939291018E2,5.181553771E1,4.694200667E0,2.584175110E0,4.688652232E-3,5.368710371E1,1.600241655E1,1.600241655E1
1.949291010E2,5.181553470E1,4.694194206E0,2.584175110E0,6.190625578E-2,2.085587745E2,1.600241655E1,1.600241655E1
1.959290996E2,5.181553444E1,4.694190063E0,2.584175110E0,2.054927945E-1,2.393626134E1,1.600241655E1,1.600241655E1
1.969290993E2,5.181553660E1,4.694187982E0,2.584175110E0,2.054927945E-1,2.290228169E1,1.600241655E1,1.600241655E1
1.979290980E2,5.181553999E1,4.694181897E0,2.584175110E0,4.152683914E-1,3.549373645E2,1.600241655E1,1.600241655E1
1.989290975E2,5.181554393E1,4.694190122E0,2.584175110E0,4.152683914E-1,3.869537806E1,1.600241655E1,1.600241655E1
1.999290972E2,5.181554703E1,4.694188773E0,2.584175110E0,3.627527058E-1,3.784665193E1,1.600241655E1,1.600241655E1
2.009290966E2,5.181554893E1,4.694178421E0,2.584175110E0,2.447050065E-1,3.229083945E1,1.600241655E1,1.600241655E1
2.019290956E2,5.181555406E1,4.694167337E0,2.584175110E0,2.245693058E-1,2.896929797E1,1.600241655E1,1.600241655E1
2.029290948E2,5.181555880E1,4.694158369E0,2.584175110E0,1.780626923E-1,2.278591405E1,1.885829551E1,1.885829551E1
2.039290946E2,5.181555880E1,4.694158369E0,2.584175110E0,0.000000000E0,2.278591405E1,1.885829551E1,1.885829551E1
2.049290938E2,5.181555918E1,4.694160236E0,2.584175110E0,1.098829731E-1,1.056328848E2,1.874770443E1,1.874770443E1
2.059290925E2,5.181556406E1,4.694153436E0,2.584175110E0,1.083323434E-1,1.041701179E2,1.938146010E1,1.938146010E1
